Protein,C(Time): sum_sq,Residual: sum_sq,C(Time): df,Residual: df,C(Time): F,Residual: F,C(Time): PR(>F),Residual: PR(>F)
CHL1_OID01216,33.77253165585773,944.7906455257939,2.0,66.0,1.1796195801907718,,0.3137918074066645,
NRP1_OID01217,6.660550548228174,614.7623558423854,2.0,66.0,0.35753355097735073,,0.7007454332323816,
PLXNB2_OID01218,3.092323044556271,124.20378954851773,2.0,66.0,0.8216066582291714,,0.444171081499143,
FCGR3B_OID01219,432.83749337071987,1607.1123643138512,2.0,66.0,8.887765160920832,,0.00038201704791035034,
LILRB5_OID01220,11.007607131097581,474.19270153260254,2.0,66.0,0.7660409663670146,,0.4689378583886563,
APOM_OID01221,24.006808949506286,1180.6211461467435,2.0,66.0,0.671023636938347,,0.5146375468449291,
SOD1_OID01222,20.154342426286732,913.5862256192323,2.0,66.0,0.7280027669163458,,0.48670902205080413,
CA1_OID01223,13.9124274300731,360.5834364199616,2.0,66.0,1.2732423589687558,,0.28670725257102614,
TIMP1_OID01224,4.826860083867201,200.14792065760307,2.0,66.0,0.795843305512586,,0.4554823129550165,
CST3_OID01225,42.857008432113204,1183.6493383986444,2.0,66.0,1.1948481973327612,,0.3092128779879558,
ANG_OID01226,1.842886185835569,228.19575235316523,2.0,66.0,0.266504715821588,,0.7668727925662093,
F11_OID01227,3.098233131968798,650.1430802910329,2.0,66.0,0.15726029616311907,,0.8548008396475308,
PROC_OID01228,14.508865697621228,951.494772347934,2.0,66.0,0.503200418894598,,0.6068931980525758,
SERPINA5_OID01229,98.74732740009611,1244.676996072985,2.0,66.0,2.618078276118547,,0.0805070742161726,
ICAM1_OID01230,0.29570742064536504,104.35975616983393,2.0,66.0,0.09350678115246286,,0.9108522736458755,
REG1A_OID01231,20.76646578690889,1551.0344738888243,2.0,66.0,0.4418298770947331,,0.644746390126701,
SERPINA7_OID01232,174.34144772856658,993.2821442860499,2.0,66.0,5.792178796466763,,0.004812849853029428,
C2_OID01233,86.30167870480567,742.087961237012,2.0,66.0,3.8377598694785884,,0.026502326568791423,
GP1BA_OID01234,1.5881518987562797,299.8193345993693,2.0,66.0,0.17480197776100154,,0.840010707198848,
CA3_OID01235,24.26971338998502,1346.9363946040335,2.0,66.0,0.5946090291107999,,0.5547068221229325,
PRSS2_OID01236,22.446951681348494,773.8281530754059,2.0,66.0,0.9572531091568051,,0.3892116285422318,
UMOD_OID01237,30.841596120231625,1114.8380847690394,2.0,66.0,0.9129331746667906,,0.4063528689773216,
MET_OID01238,4.852218780095766,605.2730499647184,2.0,66.0,0.26454708292809986,,0.7683635119538376,
F7_OID01239,72.2461010322064,1651.598776271609,2.0,66.0,1.4435233110579255,,0.24345023786096082,
IGLC2_OID01240,28.328349789153616,632.9178067430769,2.0,66.0,1.4770251888671404,,0.2357637727904396,
KIT_OID01241,7.523565702829022,565.7144738418953,2.0,66.0,0.43887452005116256,,0.6466294989744598,
ITGAM_OID01242,1.1112941695789735,120.5021692407253,2.0,66.0,0.3043323437841657,,0.7386451815461678,
MBL2_OID01243,6.829111191494986,371.24881297224556,2.0,66.0,0.6070340468298883,,0.5479789542576783,
FCGR2A_OID01244,4.292044794148009,1022.8219591549474,2.0,66.0,0.13847715815947556,,0.870935442138953,
CDH1_OID01245,0.6426285397494742,308.46232066922244,2.0,66.0,0.06874986146030315,,0.9336269361818831,
CCL5_OID01246,9.150186970412504,1024.443774150277,2.0,66.0,0.29475133496132533,,0.7456918883200033,
NCAM1_OID01247,17.062055293651348,1362.7596123120966,2.0,66.0,0.4131673844774513,,0.6632506549144727,
CD59_OID01248,68.52752997304805,192.75237878873065,2.0,66.0,11.732194971192747,,4.370117496017137e-05,
SELL_OID01249,20.938280955898158,1069.7994825725018,2.0,66.0,0.6458811046375802,,0.527481364289396,
NID1_OID01250,0.5979646546711957,35.584507942958396,2.0,66.0,0.5545343955796997,,0.5769920883613099,
CD46_OID01251,6.663562205887386,407.60498969212284,2.0,66.0,0.5394869011794469,,0.5855963256005801,
ST6GAL1_OID01252,6.754233670455527,68.11346353400491,2.0,66.0,3.272329721036093,,0.04415400942828883,
IL7R_OID01253,0.32955406344882665,170.51569320271182,2.0,66.0,0.06377878709898312,,0.9382702728935831,
ENG_OID01254,18.92855240511998,267.0417319075849,2.0,66.0,2.33911840260656,,0.10435699169177418,
IGFBP3_OID01255,4.819347260117879,65.2118251378538,2.0,66.0,2.438797859861957,,0.09509411175908881,
PAM_OID01256,7.163384554171124,498.00872976346034,2.0,66.0,0.4746737881481039,,0.6241950938466232,
VCAM1_OID01257,0.6982996763761182,367.3260378005401,2.0,66.0,0.06273415698596582,,0.9392490532301391,
CR2_OID01258,0.18409763813595126,54.65731930290382,2.0,66.0,0.11115111637323986,,0.8949706583765876,
TCN2_OID01259,53.72206624089059,2868.6531108892555,2.0,66.0,0.6180001964057026,,0.5421108857726513,
TNXB_OID01260,4.070779981941674,694.1612990765564,2.0,66.0,0.193522369487873,,0.824517312023052,
CA4_OID01261,1.0035420752865196,292.2037663585493,2.0,66.0,0.11333491315720753,,0.8930249674829566,
GNLY_OID01262,1.6614835730077802,344.1209521996331,2.0,66.0,0.15933048411841283,,0.8530415021921688,
CES1_OID01263,11.164471342508618,1119.1341263919235,2.0,66.0,0.3292076844181232,,0.7206682027649793,
IGFBP6_OID01264,8.751594071038207,577.1698860771339,2.0,66.0,0.500377118264387,,0.6085833251646694,
TNC_OID01265,30.33966350243913,113.48556129508441,2.0,66.0,8.822346069004801,,0.0004022380036484535,
DPP4_OID01266,53.91092351570709,604.7552476032257,2.0,66.0,2.9417859259082593,,0.05972710464903189,
ICAM3_OID01267,13.706922258494604,1714.558317665287,2.0,66.0,0.26381630176700976,,0.7689207600688417,
THBS4_OID01268,2.2537496694894124,142.12363761311428,2.0,66.0,0.5233030925904746,,0.5949979862167843,
SAA4_OID01269,17.784348655058828,1331.6136415887008,2.0,66.0,0.44073107040023374,,0.6454458724327361,
TIE1_OID01270,14.106681566458132,908.1364193246961,2.0,66.0,0.5126107507496356,,0.6012946814658905,
COL18A1_OID01271,0.4099311683019886,1161.4420848158284,2.0,66.0,0.011647355241230763,,0.9884222438076778,
PRCP_OID01272,17.460177525549366,659.0684638315747,2.0,66.0,0.8742427986819494,,0.42195228741115787,
NOTCH1_OID01273,2.749704490799399,1124.5208024935412,2.0,66.0,0.08069236958104326,,0.9225682937172852,
